date,incident_id,governorate,district,area,target,main_category,sub_category,min_air_raids,max_air_raids,civilian_casualties,fatalities,woman_fatalities,child_fatalities,injured,woman_injured,child_injured,confirmed_time,time_of_day
2015-03-30,144,Abyan,zinjibar,-,15th Infantry Brigade,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-30,145,Abyan,khanfir,Al-Kod,Civilians Gathering,civilian,social gathering,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-30,146,Aden,khor maksar,Al-Alam Checkpoint,Pro-Houthi reinforcement,military_security_target,moving target (weapons/fighters),1,1.0,5,2,0,0,3,0,0.0,14,afternoon
2015-03-30,147,Aden,khor maksar,Al-Areesh,Bus (with civilians onboard),civilian,vehicle/bus,1,1.0,6,6,1,0,0,0,0.0,Unknown,afternoon
2015-03-30,148,Aden,khor maksar,-,Aden Airport,infrastructure,transport,1,1.0,0,0,0,0,0,0,0.0,20,night
2015-03-30,149,Aden,khor maksar,Near President Hadi House,Residential Area,civilian,residential area,1,2.0,13,13,1,0,0,0,0.0,Unknown,night
2015-03-30,150,Aden,khor maksar,-,39th Armoured Brigade,military_security_target,military site,1,1.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-30,151,Aden,al-mualla,-,Aden Port,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-30,152,Hajja,harad,Al-Mazraq,IDPs Camp,civilian,residential area,1,4.0,70,29,0,0,41,11,14.0,1,afternoon
2015-03-30,153,Ibb,yarim,Bab Al-Dhawrain,4 Houses,civilian,residential area,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-30,154,Ibb,yarim,Bab Al-Dhawrain,2 Gas stations,economic_infrastructure,oil & gas,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-30,155,Lahj,tuban,Al-Husayni,Pro-Houthi forces,military_security_target,forces,1,3.0,0,0,0,0,0,0,0.0,21,night
2015-03-30,156,Lahj,al-musyamir,-,Al-Wataniyah Cement Factory,infrastructure,factory,1,2.0,10,5,0,0,5,0,0.0,23,night
2015-03-30,157,Shabwa,bayhan,Outskirts of the city,Anti-Houthi Groups,military_security_target,forces,1,1.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-30,158,Saada,shada'a,Al-Mashnaq,Residential Area,civilian,residential area,1,2.0,8,8,0,0,0,0,0.0,Unknown,morning
2015-03-30,159,Saada,sa'ada,The City,Local Airport,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-30,160,Saada,sa'ada,Qahzah,Electricity Station,economic_infrastructure,water & electricity,1,1.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-30,161,Saada,kitaf wa al-boqe'e,Marar,Unknown,unknown,unknown,1,1.0,0,0,0,0,0,0,0.0,Unknown,afternoon
2015-03-30,162,Taiz,mawiyah,Awman Mountain,Air Defence Military Site (Missiles Battalion),military_security_target,military site,1,4.0,0,0,0,0,0,0,0.0,20,night
2015-03-30,163,Taiz,al-taiziyah,Al-Hawban ,Tariq Air Base,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,20,night
2015-03-30,164,Taiz,al-taiziyah,-,Taiz Airport,infrastructure,transport,1,1.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-30,165,Taiz,sabir al-mawadim,Al-Aroos Mountain,Pro-Houthi forces,military_security_target,forces,1,2.0,0,0,0,0,0,0,0.0,Unknown,night
2015-03-31,166,Sanaa,bani al-harith,Al-Rahabah,Sana'a International Airport,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,1,morning
2015-03-31,167,Sanaa,bani al-harith,Al-Rahabah,Al-Daylami Airbase,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,1,morning
2015-03-31,168,Sanaa,al-thawrah,Al-Nahdhdah,Former 1st Armoured Division,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,1,morning
2015-03-31,169,Sanaa,al-sab'ein,Al-Nahdain,3rd Armoured Presdintial Guards,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,1,morning
2015-03-31,170,Sanaa,al-sab'ein,Noqom Mountain,Al-Hafa Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-31,171,Sanaa,azal,Noqom Mountain,Weapons Storage,military_security_target,weapon storage,1,2.0,0,0,0,0,0,0,0.0,21,night
2015-03-31,172,Sanaa,arhab,Al-Sama'a,Al-Sama'a Military Camp,military_security_target,military site,1,3.0,0,0,0,0,0,0,0.0,2,morning
2015-03-31,173,Sanaa,sanhan,Al-Sawad,Al-Sawad Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,19,night
2015-03-31,174,Dhalie,al-dhalie,The City,33rd Armoured Brigade ,military_security_target,military site,1,5.0,20,10,0,0,10,0,0.0,10,afternoon
2015-03-31,175,Dhalie,al-dhalie,-,Al-Jarba'a Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,10,afternoon
2015-03-31,176,Dhalie,al-dhalie,-,Al-Jarba'a Military Camp,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,19,night
2015-03-31,177,Hajja,harad,-,2nd Border Guards Brigade,military_security_target,military site,1,2.0,0,0,0,0,0,0,0.0,3,morning
2015-03-31,178,Hajja,harad,-,DHL Mails Bus,infrastructure,transport,1,1.0,8,1,0,0,7,0,0.0,Unknown,morning
2015-03-31,179,Hajja,harad,-,Harad Customs,infrastructure,gov. compounds,1,1.0,0,0,0,0,0,0,0.0,19,night
2015-03-31,180,Hajja,harad,-,Al-Twal Crossing-Border,infrastructure,transport,1,2.0,0,0,0,0,0,0,0.0,20,night
