Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Min Air Raids,Max Air Raids,Civilian Casualties,Fatalities ,Woman fatalities,Child fatalities,Injured ,Woman injured,Child injured, Confirmed Time,Time of Day,,,,
38,27/03/2015,Capital,Bani Al-Harith,Airport,Sana'a International Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,7,Evening,,,,
39,27/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,20,Evening,,,,
40,27/03/2015,Capital,Al-Sab'ein,Al-Nahdain,Presidential Palace,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,8,Evening,,,,
41,27/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,2,Early-Morning,,,,
42,27/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,2,Early-Morning,,,,
43,27/03/2015,Sanaa,Bani Hushaysh,Al-Khorafi,Al-Khorafi Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Early-Morning,,,,
44,27/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Early-Morning,,,,
45,27/03/2015,Sanaa,Bani Matar,Al-Nabi Shu'ayb mountain,Radars Centre,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Early-Morning,,,,
46,27/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Early-Morning,,,,
47,27/03/2015,Sanaa,Sanhan,Raymah Humaid,Raymah Humaid Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Early-Morning,,,,
48,27/03/2015,Sanaa,Bani Matar,Faj Attan,Missiles Brigade Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,19,Evening,,,,
49,27/03/2015,Sanaa,Bani Matar,Al-Sobahah,Special Forces Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,19,Evening,,,,
50,27/03/2015,Sanaa,Sanhan,Al-Sawad,Al-Sawad Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,20,Evening,,,,
51,27/03/2015,Sanaa,Arhab,Al-Sama'a,Al-Sama'a Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,8,Evening,,,,
52,27/03/2015,Sanaa,Sanhan,Al-Sawad,48 hospital,Medical_Facility,Hospital,1,2,17,3,0,0,14,0,0,unkn,Night,,,,
53,27/03/2015,Abyan,Zinjibar,Wadi Hassan ,Military Convoy,Military_Security_Target,Moving Target (weapons/fighters),1,1,0,0,0,0,0,0,0,23,Night,,,,
54,27/03/2015,Dhalie,Al-Dhalie,The City,Aboud Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
55,27/03/2015,Dhalie,Al-Dhalie,Al-Jarba'a,Al-Jarba'a Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Evening,,,,
56,27/03/2015,Dhalie,Qatabah,Murays,Al-Sadrayn Military Camp,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,unkn,Evening,,,,
57,27/03/2015,Hudaydah,Al-Salif,Al-Salif port,Air Defence Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,4,Early-Morning,,,,
58,27/03/2015,Hudaydah,Al-Salif,-,Al-Salif port,Infrastructure,Transport,1,1,0,0,0,0,0,0,0,22,Night,,,,
59,27/03/2015,Marib,Marib,Safer,49 Air Defence Battalion,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,4,Early-Morning,,,,
60,27/03/2015,Marib,Majzar,Mas ,Mas Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Midday,,,,
61,27/03/2015,Marib,Marib,Safer,Air Defence Military Site located near the Safer Oil Facility,Military_Security_Target,Military Site,1,2,5,5,0,0,0,0,0,unkn,Afternoon,,,,
62,27/03/2015,Saada,Shada'a,-,Unknown,Unknown,Unknown,1,2,0,0,0,0,0,0,0,2,Early-Morning,,,,
63,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,-,131st Infantry Brigade,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,4,Early-Morning,,,,
64,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,Al-Boqe'e,Al-Boqe'e Market,Civilian,Market place,1,2,20,8,0,0,12,0,0,unkn,Morning,,,,
65,27/03/2015,Saada,Majz,Dhahyan,Unknown,Unknown,Unknown,1,2,0,0,0,0,0,0,0,unkn,Midday,,,,
66,27/03/2015,Saada,Kitaf Wa Al-Boqe'e,Al-Salim,Unknown,Unknown,Unknown,1,2,0,0,0,0,0,0,0,unkn,Midday,,,,
67,27/03/2015,Saada,Monabbih,Ozlat Al-Maswad,Civilian's house,Civilian,Residential Area,1,2,6,1,1,0,5,0,0,17,Afternoon,,,,
68,28/03/2015,Capital,Azal,Noqom,Weapons Storage,Military_Security_Target,Weapon storage,1,2,0,0,0,0,0,0,0,3,Early-Morning,,,,
69,28/03/2015,Capital,Al-Wahdah,Hadda,Residence of former Presiden Ali Abdullah Saleh,Political_Tribal,Figure,1,2,0,0,0,0,0,0,0,3,Early-Morning,,,,
70,28/03/2015,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Airbase,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,4,Early-Morning,,,,
71,28/03/2015,Capital,Ma'ain,Al-Sunainah,Aviation College,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,unkn,Early-Morning,,,,
72,28/03/2015,Capital,Al-Thawrah,Al-Nahdhah,Former 1st Armoured Division,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,19,Evening,,,,
